epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.108,1.82746,2.76201,1.97888,0.77326,0.31911,0.35406,0.15989,1.93616,1.95461,2.44496,0.000475169,0.000475169,0.000475169
2,502.934,1.27121,1.78679,1.5145,0.41181,0.39196,0.41856,0.19432,1.71708,1.78093,2.4248,0.000857303,0.000857303,0.000857303
3,661.154,1.10195,1.46099,1.38288,0.79203,0.42406,0.42776,0.19157,1.65584,1.5176,2.29447,0.00114512,0.00114512,0.00114512
4,827.178,1.02429,1.30691,1.3039,0.53363,0.5576,0.48163,0.26199,1.45932,1.33949,2.3161,0.00100459,0.00100459,0.00100459
5,994.759,0.94124,1.15017,1.25635,0.50557,0.46728,0.49293,0.24464,1.42391,1.11525,2.2091,0.000863116,0.000863116,0.000863116
6,1176.47,0.88975,1.06577,1.21481,0.4809,0.47658,0.47903,0.24696,1.38665,1.17216,2.23635,0.000721645,0.000721645,0.000721645
7,1351.37,0.80236,0.94587,1.16806,0.58998,0.56474,0.62819,0.29461,1.31364,0.94015,2.24933,0.000580174,0.000580174,0.000580174
8,1529.74,0.74845,0.84704,1.14045,0.59177,0.60292,0.52392,0.27281,1.27448,0.8865,2.26345,0.000438703,0.000438703,0.000438703
9,1717.2,0.69107,0.78974,1.10161,0.62658,0.62297,0.56514,0.31401,1.20712,0.81859,2.16835,0.000297232,0.000297232,0.000297232
10,1896.97,0.64155,0.72195,1.07747,0.63602,0.62292,0.59401,0.30786,1.17422,0.78801,2.18198,0.000155761,0.000155761,0.000155761
