epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,912.554,1.83913,2.40546,2.07282,0.46665,0.48792,0.41272,0.21252,1.6351,2.11426,2.079,0.000555087,0.000555087,0.000555087
2,1604.18,1.427,1.84942,1.75082,0.60699,0.54079,0.517,0.28746,1.69719,2.82945,2.47,0.00109701,0.00109701,0.00109701
3,2651.7,1.29347,1.63911,1.6514,0.45609,0.5994,0.51363,0.2514,1.6188,2.41078,2.24939,0.00162518,0.00162518,0.00162518
4,3179.94,1.22193,1.56651,1.59217,0.50023,0.53754,0.50746,0.26215,1.55079,1.62501,2.3116,0.00160511,0.00160511,0.00160511
5,3520.1,1.16536,1.40884,1.56037,0.67585,0.6664,0.66817,0.37301,1.49678,1.39832,2.26375,0.00158448,0.00158448,0.00158448
6,5232.7,1.07318,1.26775,1.48479,0.66269,0.59724,0.64234,0.38143,1.38881,1.3693,2.35306,0.00156385,0.00156385,0.00156385
7,5707.23,1.02708,1.2239,1.45573,0.61482,0.58535,0.57693,0.3492,1.52281,1.37785,2.37777,0.00154323,0.00154323,0.00154323
8,6003.64,0.98696,1.14202,1.42873,0.72278,0.64721,0.66628,0.38025,1.41475,1.17337,2.18924,0.0015226,0.0015226,0.0015226
9,6303.17,0.95733,1.11254,1.41707,0.76018,0.70179,0.72862,0.43642,1.41532,1.07411,2.4059,0.00150197,0.00150197,0.00150197
10,7134.02,0.91593,1.06365,1.37335,0.73205,0.6882,0.66841,0.38024,1.3978,0.98385,2.29334,0.00148134,0.00148134,0.00148134
11,7662.96,0.89594,1.01383,1.35945,0.77619,0.75351,0.73906,0.41529,1.39407,1.01206,2.29466,0.00146071,0.00146071,0.00146071
12,9557.2,0.86245,0.98663,1.34065,0.78014,0.67246,0.73215,0.43741,1.28488,0.90525,2.09738,0.00144008,0.00144008,0.00144008
13,10029.9,0.82834,0.94058,1.31422,0.73627,0.66509,0.67565,0.43355,1.25461,1.07974,2.12927,0.00141945,0.00141945,0.00141945
14,10436.9,0.81154,0.95307,1.2993,0.80694,0.72554,0.78752,0.51525,1.21855,0.8735,2.22288,0.00139882,0.00139882,0.00139882
15,10752.9,0.79522,0.92165,1.28184,0.81529,0.70453,0.78381,0.47223,1.24425,0.87196,2.14867,0.00137819,0.00137819,0.00137819
16,11153.9,0.80032,0.90063,1.29078,0.82203,0.73079,0.77848,0.50316,1.18988,0.91433,2.15021,0.00135756,0.00135756,0.00135756
17,12107.3,0.77423,0.87956,1.28144,0.79479,0.67547,0.74194,0.44441,1.26264,1.07092,2.31074,0.00133693,0.00133693,0.00133693
18,12498.8,0.76921,0.87095,1.27065,0.82447,0.74324,0.82414,0.53422,1.18061,0.8211,2.21463,0.0013163,0.0013163,0.0013163
19,12857,0.72986,0.84392,1.24745,0.88311,0.80774,0.84616,0.54463,1.10144,0.75448,2.038,0.00129568,0.00129568,0.00129568
20,13679.9,0.73316,0.85617,1.24805,0.89474,0.71127,0.81666,0.5222,1.18133,0.85342,2.0716,0.00127505,0.00127505,0.00127505
21,14196.9,0.72025,0.81537,1.23851,0.86406,0.77809,0.81415,0.517,1.19704,0.78419,2.14529,0.00125442,0.00125442,0.00125442
22,14744.4,0.67975,0.77409,1.20922,0.82535,0.73987,0.77153,0.4912,1.18124,1.02545,2.19057,0.00123379,0.00123379,0.00123379
23,15262.2,0.70642,0.78332,1.23577,0.8457,0.81593,0.83987,0.54511,1.15116,0.75428,2.09252,0.00121316,0.00121316,0.00121316
24,15608.3,0.67524,0.7459,1.21626,0.90125,0.80952,0.86778,0.5843,1.0719,0.68307,2.07629,0.00119253,0.00119253,0.00119253
25,15927,0.68665,0.77143,1.22909,0.83887,0.76667,0.8376,0.55498,1.11613,0.77539,1.88144,0.0011719,0.0011719,0.0011719
26,16224,0.6771,0.75079,1.21392,0.85616,0.76698,0.84767,0.54996,1.13618,0.78941,2.2058,0.00115127,0.00115127,0.00115127
27,16558.8,0.64713,0.72965,1.19722,0.91603,0.76446,0.86139,0.56917,1.09904,0.66109,2.14027,0.00113064,0.00113064,0.00113064
