epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0462,2.33519,3.50172,2.45836,0.00613,0.90899,0.0778,0.0156,1.66627,3.41454,1.91678,0.000468525,0.000468525,0.000468525
2,132.81,1.66888,2.52653,1.841,0.76155,0.09893,0.09095,0.04139,1.94857,3.63657,2.08008,0.000851317,0.000851317,0.000851317
3,188.934,1.52598,2.31204,1.77541,0.48675,0.1924,0.17827,0.08562,2.11832,4.53186,2.34238,0.0011398,0.0011398,0.0011398
4,245.16,1.36892,2.03269,1.6274,0.59604,0.35009,0.26409,0.11238,2.29399,4.42986,2.61057,0.00100459,0.00100459,0.00100459
5,302.273,1.24325,1.92278,1.56044,0.58565,0.41904,0.24643,0.1008,2.37511,4.50686,2.72326,0.000863116,0.000863116,0.000863116
6,370.036,1.15278,1.5679,1.51868,0.61488,0.28568,0.23841,0.12223,2.32847,4.08716,2.69198,0.000721645,0.000721645,0.000721645
7,429.037,1.0069,1.53326,1.3772,0.56425,0.38552,0.25991,0.11599,2.45921,4.0346,2.81641,0.000580174,0.000580174,0.000580174
8,554.427,0.98868,1.44213,1.35082,0.633,0.41984,0.27473,0.11528,2.46659,3.9651,2.84345,0.000438703,0.000438703,0.000438703
9,681.769,0.93853,1.34154,1.3278,0.61028,0.40376,0.26811,0.11136,2.47324,3.92768,2.77915,0.000297232,0.000297232,0.000297232
10,821.34,0.87337,1.21935,1.24939,0.62424,0.43592,0.28684,0.11078,2.41868,3.95625,2.70616,0.000155761,0.000155761,0.000155761
